CustomerKey,GeographyKey,CustomerAlternateKey,Gender,Fullname,BirthDate,MaritalStatus,EmailAddress,YearlyIncome,EnglishEducation,EnglishOccupation,DateFirstPurchase
11002,31,AW00011002,M,Mr. Ruben  Torres,1971-02-09,M,ruben35@adventure-works.com,60000,Bachelors,Professional,2011-01-07
11007,40,AW00011007,M,Mr. Marco  Mehta,1969-11-06,M,marco14@adventure-works.com,60000,Bachelors,Professional,2011-01-09
11011,22,AW00011011,M,Mr. Curtis  Lu,1969-05-03,M,curtis9@adventure-works.com,60000,Bachelors,Professional,2010-12-30
11096,12,AW00011096,M,Mr. Andrés  Anand,1968-02-07,M,andrés18@adventure-works.com,60000,Bachelors,Professional,2011-04-11
11099,13,AW00011099,M,Mr. Adam  Ross,1966-09-05,M,adam2@adventure-works.com,60000,Bachelors,Professional,2011-04-07
11701,347,AW00011701,M,Mr. David  Hayes,1985-08-16,M,david56@adventure-works.com,60000,Bachelors,Professional,2013-04-24
11706,302,AW00011706,M,Mr. Blake M Perez,1968-08-13,M,blake39@adventure-works.com,60000,Bachelors,Professional,2013-03-08
11738,59,AW00011738,M,Mr. Elijah  Alexander,1970-10-05,M,elijah20@adventure-works.com,60000,Bachelors,Professional,2013-02-02
11743,372,AW00011743,M,Mr. Chase E Kelly,1974-09-09,M,chase3@adventure-works.com,60000,Bachelors,Professional,2011-10-25
11755,25,AW00011755,M,Mr. Willie J Pal,1973-11-12,M,willie31@adventure-works.com,60000,Bachelors,Professional,2013-05-31
11855,302,AW00011855,M,Mr. Christian  Walker,1974-08-09,M,christian44@adventure-works.com,60000,Bachelors,Professional,2013-04-27
11881,326,AW00011881,M,Mr. Richard T Mitchell,1965-01-20,M,richard30@adventure-works.com,60000,Bachelors,Professional,2013-12-02
11882,637,AW00011882,M,Mr. Patrick L Stewart,1975-09-05,M,patrick27@adventure-works.com,60000,Bachelors,Professional,2013-02-17
11887,312,AW00011887,M,Mr. Joseph  White,1963-10-03,M,joseph19@adventure-works.com,60000,Bachelors,Professional,2013-05-28
11888,49,AW00011888,M,Mr. Aaron N Ross,1969-12-18,M,aaron3@adventure-works.com,60000,Bachelors,Professional,2013-03-18
11919,26,AW00011919,M,Mr. Warren  Andersen,1969-08-17,M,warren2@adventure-works.com,60000,Bachelors,Professional,2011-10-05
11921,33,AW00011921,M,Mr. Gilbert  Zhu,1970-06-22,M,gilbert11@adventure-works.com,60000,Bachelors,Professional,2013-09-19
11991,9,AW00011991,M,Mr. Frederick  Martinez,1968-02-07,M,frederick14@adventure-works.com,60000,Bachelors,Professional,2011-11-01
12370,15,AW00012370,M,Mr. Preston  Perez,1968-12-24,M,preston19@adventure-works.com,60000,Bachelors,Professional,2013-02-10
12715,37,AW00012715,M,Mr. Eddie J Gill,1969-01-14,M,eddie14@adventure-works.com,60000,Bachelors,Professional,2013-03-12
12984,62,AW00012984,M,Mr. Adam  Young,1963-08-06,M,adam48@adventure-works.com,60000,Bachelors,Professional,2013-02-03
12991,3,AW00012991,M,Mr. Jésus B Serrano,1979-03-09,M,jésus15@adventure-works.com,60000,Bachelors,Professional,2012-04-17
12992,30,AW00012992,M,Mr. Ernest M Zeng,1979-10-18,M,ernest20@adventure-works.com,60000,Bachelors,Professional,2013-03-23
12993,31,AW00012993,M,Mr. Xavier K Henderson,1979-12-23,M,xavier46@adventure-works.com,60000,Bachelors,Professional,2013-04-05
13008,34,AW00013008,M,Mr. Alberto J Muñoz,1976-07-05,M,alberto8@adventure-works.com,60000,Bachelors,Professional,2013-08-17
13013,26,AW00013013,M,Mr. Vincent  Ye,1970-05-08,M,vincent9@adventure-works.com,60000,Bachelors,Professional,2013-09-27
13108,32,AW00013108,M,Mr. Curtis A Wang,1968-06-24,M,curtis2@adventure-works.com,60000,Bachelors,Professional,2012-06-18
13613,16,AW00013613,M,Mr. Derek E Jai,1981-06-22,M,derek10@adventure-works.com,60000,Bachelors,Professional,2013-02-13
13668,2,AW00013668,M,Mr. Stanley Z Martinez,1974-10-03,M,stanley19@adventure-works.com,60000,Bachelors,Professional,2013-02-06
13921,311,AW00013921,M,Mr. Joseph  Jones,1974-05-07,M,joseph9@adventure-works.com,60000,Bachelors,Professional,2013-10-04
13922,548,AW00013922,M,Mr. Jackson A Foster,1974-05-03,M,jackson18@adventure-works.com,60000,Bachelors,Professional,2013-11-14
13946,547,AW00013946,M,Mr. Jason L Powell,1965-01-22,M,jason6@adventure-works.com,60000,Bachelors,Professional,2014-01-14
13954,24,AW00013954,M,Mr. Eddie T Ramos,1984-09-16,M,eddie17@adventure-works.com,60000,Bachelors,Professional,2013-07-09
14048,32,AW00014048,M,Mr. Wyatt A Mitchell,1967-10-01,M,wyatt40@adventure-works.com,60000,Bachelors,Professional,2012-08-17
14209,5,AW00014209,M,Mr. Craig  Ramos,1980-10-06,M,craig16@adventure-works.com,60000,Bachelors,Professional,2013-02-21
14305,4,AW00014305,M,Mr. Brendan L Shen,1968-01-08,M,brendan2@adventure-works.com,60000,Bachelors,Professional,2012-09-19
14612,300,AW00014612,M,Mr. Ernest M Zhang,1974-07-16,M,ernest0@adventure-works.com,60000,Bachelors,Professional,2013-12-04
14613,611,AW00014613,M,Mr. Glenn  Huang,1980-02-02,M,glenn6@adventure-works.com,60000,Bachelors,Professional,2011-04-28
14654,627,AW00014654,M,Mr. Kyle P Collins,1965-02-10,M,kyle32@adventure-works.com,60000,Bachelors,Professional,2013-04-01
14659,348,AW00014659,M,Mr. Zachary E Harris,1963-07-20,M,zachary44@adventure-works.com,60000,Bachelors,Professional,2013-05-27
14662,315,AW00014662,M,Mr. Jack  Ross,1963-11-06,M,jack4@adventure-works.com,60000,Bachelors,Professional,2011-07-25
14684,34,AW00014684,M,Mr. James  Zhang,1970-06-13,M,james39@adventure-works.com,60000,Bachelors,Professional,2013-10-16
15209,36,AW00015209,M,Mr. Frank M Romero,1979-01-13,M,frank16@adventure-works.com,60000,Bachelors,Professional,2012-10-21
15212,4,AW00015212,M,Mr. Marcus D Henderson,1967-01-11,M,marcus54@adventure-works.com,60000,Bachelors,Professional,2013-04-13
15528,545,AW00015528,M,Mr. Lucas  Ramirez,1979-10-01,M,lucas79@adventure-works.com,60000,Bachelors,Professional,2012-08-19
15529,626,AW00015529,M,Mr. Jason  Allen,1969-01-01,M,jason50@adventure-works.com,60000,Bachelors,Professional,2012-08-05
15531,610,AW00015531,M,Mr. Calvin A Raji,1968-12-11,M,calvin20@adventure-works.com,60000,Bachelors,Professional,2012-08-05
15559,49,AW00015559,M,Mr. Devin A Flores,1970-05-22,M,devin51@adventure-works.com,60000,Bachelors,Professional,2013-02-12
15563,618,AW00015563,M,Mr. Luke  Lopez,1970-07-10,M,luke44@adventure-works.com,60000,Bachelors,Professional,2013-10-05
15564,66,AW00015564,M,Mr. Eduardo  Hughes,1970-02-21,M,eduardo56@adventure-works.com,60000,Bachelors,Professional,2013-05-28
15575,23,AW00015575,M,Mr. Alvin B Ye,1985-01-06,M,alvin9@adventure-works.com,60000,Bachelors,Professional,2012-10-29
15580,33,AW00015580,M,Mr. Ruben  Raman,1979-02-20,M,ruben13@adventure-works.com,60000,Bachelors,Professional,2012-10-28
15582,34,AW00015582,M,Mr. Jeffery A Cai,1974-01-18,M,jeffery21@adventure-works.com,60000,Bachelors,Professional,2012-11-27
15603,13,AW00015603,M,Mr. Philip M Blanco,1975-09-02,M,philip15@adventure-works.com,60000,Bachelors,Professional,2013-03-31
15604,31,AW00015604,M,Mr. Clifford  Prasad,1970-06-13,M,clifford9@adventure-works.com,60000,Bachelors,Professional,2013-06-20
15605,3,AW00015605,M,Mr. Alan L Yang,1970-02-21,M,alan9@adventure-works.com,60000,Bachelors,Professional,2013-09-27
15606,33,AW00015606,M,Mr. Marco C Prasad,1970-06-10,M,marco10@adventure-works.com,60000,Bachelors,Professional,2013-02-27
16173,15,AW00016173,M,Mr. Cory E Rana,1981-07-02,M,cory9@adventure-works.com,60000,Bachelors,Professional,2013-02-24
16182,29,AW00016182,M,Mr. Louis E Sun,1969-10-19,M,louis7@adventure-works.com,60000,Bachelors,Professional,2013-05-22
16684,40,AW00016684,M,Mr. Joel  Perez,1968-05-17,M,joel20@adventure-works.com,60000,Bachelors,Professional,2011-02-08
17035,648,AW00017035,M,Mr. Jordan  Flores,1965-04-20,M,jordan9@adventure-works.com,60000,Bachelors,Professional,2013-02-15
17040,616,AW00017040,M,Mr. Adam  Henderson,1969-08-23,M,adam3@adventure-works.com,60000,Bachelors,Professional,2013-05-26
17041,631,AW00017041,M,Mr. Connor  Perry,1963-11-11,M,connor4@adventure-works.com,60000,Bachelors,Professional,2013-05-21
17042,642,AW00017042,M,Mr. Tyler L Jackson,1975-04-19,M,tyler0@adventure-works.com,60000,Bachelors,Professional,2013-05-27
17073,31,AW00017073,M,Mr. Jonathon N Carlson,1969-09-12,M,jonathon14@adventure-works.com,60000,Bachelors,Professional,2013-08-03
17074,37,AW00017074,M,Mr. Ruben M Malhotra,1969-08-23,M,ruben5@adventure-works.com,60000,Bachelors,Professional,2013-01-30
17076,33,AW00017076,M,Mr. Neil L Serrano,1974-11-18,M,neil15@adventure-works.com,60000,Bachelors,Professional,2013-08-10
17285,10,AW00017285,M,Mr. Clayton G Deng,1974-01-30,M,clayton21@adventure-works.com,60000,Bachelors,Professional,2011-03-16
17286,33,AW00017286,M,Mr. Randall M Rubio,1978-02-10,M,randall23@adventure-works.com,60000,Bachelors,Professional,2011-03-27
17303,3,AW00017303,M,Mr. Terrence R Tang,1981-04-13,M,terrence4@adventure-works.com,60000,Bachelors,Professional,2013-08-18
17305,7,AW00017305,M,Mr. Neil  Torres,1968-09-03,M,neil11@adventure-works.com,60000,Bachelors,Professional,2013-01-30
18188,40,AW00018188,M,Mr. Jeffery E Wang,1980-09-09,M,jeffery1@adventure-works.com,60000,Bachelors,Professional,2011-04-04
18192,12,AW00018192,M,Mr. Max  Hernandez,1979-07-13,M,max4@adventure-works.com,60000,Bachelors,Professional,2013-04-06
18256,20,AW00018256,M,Mr. Gilbert J Cai,1971-01-17,M,gilbert19@adventure-works.com,60000,Bachelors,Professional,2013-02-27
18267,4,AW00018267,M,Mr. Brad C Jai,1968-11-19,M,brad11@adventure-works.com,60000,Bachelors,Professional,2013-02-17
18268,38,AW00018268,M,Mr. Preston O Chapman,1968-07-26,M,preston2@adventure-works.com,60000,Bachelors,Professional,2011-05-16
18277,24,AW00018277,M,Mr. Terry  Lal,1968-03-13,M,terry12@adventure-works.com,60000,Bachelors,Professional,2011-06-15
18699,23,AW00018699,M,Mr. Blake S Griffin,1979-10-14,M,blake68@adventure-works.com,60000,Bachelors,Professional,2011-06-22
18715,25,AW00018715,M,Mr. Rafael H Rai,1971-03-25,M,rafael41@adventure-works.com,60000,Bachelors,Professional,2013-07-09
18719,14,AW00018719,M,Mr. Alberto G Suarez,1970-04-19,M,alberto18@adventure-works.com,60000,Bachelors,Professional,2013-04-06
19549,627,AW00019549,M,Mr. Kevin  Sharma,1964-02-18,M,kevin33@adventure-works.com,60000,Bachelors,Professional,2013-03-18
19550,316,AW00019550,M,Mr. Lucas C Perez,1969-10-06,M,lucas4@adventure-works.com,60000,Bachelors,Professional,2013-03-10
19564,7,AW00019564,M,Mr. Lawrence M Gutierrez,1979-12-12,M,lawrence9@adventure-works.com,60000,Bachelors,Professional,2011-08-23
19578,17,AW00019578,M,Mr. Max L Rubio,1971-02-11,M,max19@adventure-works.com,60000,Bachelors,Professional,2013-07-04
19580,12,AW00019580,M,Mr. Eddie A Sanz,1971-03-04,M,eddie20@adventure-works.com,60000,Bachelors,Professional,2013-04-04
19589,15,AW00019589,M,Mr. Jake  Huang,1970-03-07,M,jake6@adventure-works.com,60000,Bachelors,Professional,2013-04-11
19590,26,AW00019590,M,Mr. Martin S Subram,1980-09-16,M,martin18@adventure-works.com,60000,Bachelors,Professional,2013-03-01
20207,331,AW00020207,M,Mr. Angel T Bailey,1969-04-21,M,angel15@adventure-works.com,60000,Bachelors,Professional,2013-06-12
20208,51,AW00020208,M,Mr. Austin  Hayes,1963-11-22,M,austin19@adventure-works.com,60000,Bachelors,Professional,2011-12-31
20211,22,AW00020211,M,Mr. Scott M. Rodgers,1973-11-12,M,scott10@adventure-works.com,60000,Bachelors,Professional,2011-10-16
20216,29,AW00020216,M,Mr. Shawn S Chander,1973-12-18,M,shawn17@adventure-works.com,60000,Bachelors,Professional,2011-10-23
20229,33,AW00020229,M,Mr. Austin F Walker,1971-02-24,M,austin38@adventure-works.com,60000,Bachelors,Professional,2013-08-19
20230,19,AW00020230,M,Mr. Gary D Munoz,1976-04-08,M,gary18@adventure-works.com,60000,Bachelors,Professional,2013-06-13
20232,31,AW00020232,M,Mr. Franklin L Chande,1969-11-08,M,franklin32@adventure-works.com,60000,Bachelors,Professional,2013-06-13
21157,301,AW00021157,M,Mr. Robert J Perry,1964-10-17,M,robert21@adventure-works.com,60000,Bachelors,Professional,2013-06-09
