ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,UnitPrice,ProductName,standardcost,SubCategory,Category,CustomerName,Gender,Dates,Region,Country,SalesTerritoryGroup,SalesAmount,ProductionCost,Profit,ProfitMargin,Year,MonthName,Quarter,FinancialQuarter,YearMonth
362,2012-09-19,2012-10-01,2016-05-08,14305,9,SO49755,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Mr. Brendan L Shen",M,2012-09-19,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,September,Q3,FQ2,2012-Sep
358,2012-10-21,2012-11-02,2015-07-24,15209,9,SO50125,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Mr. Frank M Romero",M,2012-10-21,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,October,Q4,FQ3,2012-Oct
354,2012-10-29,2012-11-10,2015-04-28,15575,9,SO50346,1,2071.42,"Mountain-200 Silver, 42",1117.8559,"Mountain Bikes",Bikes,"Mr. Alvin B Ye",M,2012-10-29,Australia,Australia,Pacific,2071.42,1117.86,953.56,46.03,2012,October,Q4,FQ3,2012-Oct
352,2012-10-28,2012-11-09,2015-05-09,15580,9,SO50333,1,2071.42,"Mountain-200 Silver, 38",1117.8559,"Mountain Bikes",Bikes,"Mr. Ruben  Raman",M,2012-10-28,Australia,Australia,Pacific,2071.42,1117.86,953.56,46.03,2012,October,Q4,FQ3,2012-Oct
358,2012-11-27,2012-12-09,2014-06-25,15582,9,SO50655,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Mr. Jeffery A Cai",M,2012-11-27,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,November,Q4,FQ3,2012-Nov
373,2012-11-13,2012-11-25,2014-11-14,24361,9,SO50508,1,2181.56,"Road-250 Black, 44",1320.6838,"Road Bikes",Bikes,"Mr. Francisco  Rodriguez",M,2012-11-13,Australia,Australia,Pacific,2181.56,1320.68,860.88,39.46,2012,November,Q4,FQ3,2012-Nov
377,2012-12-18,2012-12-30,2013-10-31,24585,9,SO50991,1,2181.56,"Road-250 Black, 52",1320.6838,"Road Bikes",Bikes,"Mr. Harold  Patel",M,2012-12-18,Australia,Australia,Pacific,2181.56,1320.68,860.88,39.46,2012,December,Q4,FQ3,2012-Dec
385,2012-09-29,2012-10-11,2016-02-18,25108,9,SO49918,1,1000.44,"Road-550-W Yellow, 42",605.6492,"Road Bikes",Bikes,"Mr. Gary B Gill",M,2012-09-29,Australia,Australia,Pacific,1000.44,605.65,394.79,39.46,2012,September,Q3,FQ2,2012-Sep
389,2012-10-19,2012-10-31,2015-08-06,25113,9,SO50105,1,1000.44,"Road-550-W Yellow, 48",605.6492,"Road Bikes",Bikes,"Mr. Randy  Gao",M,2012-10-19,Australia,Australia,Pacific,1000.44,605.65,394.79,39.46,2012,October,Q4,FQ3,2012-Oct
360,2012-09-19,2012-10-01,2016-05-07,14303,9,SO49754,1,2049.10,"Mountain-200 Black, 42",1105.81,"Mountain Bikes",Bikes,"Ms. Briana J Ramos",F,2012-09-19,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,September,Q3,FQ2,2012-Sep
362,2012-09-26,2012-10-08,2016-03-16,14304,9,SO49806,1,2049.10,"Mountain-200 Black, 46",1105.81,"Mountain Bikes",Bikes,"Ms. Jacquelyn  Jimenez",F,2012-09-26,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,September,Q3,FQ2,2012-Sep
352,2012-09-25,2012-10-07,2016-03-23,14671,9,SO49793,1,2071.42,"Mountain-200 Silver, 38",1117.8559,"Mountain Bikes",Bikes,"Ms. Cristina M Lal",F,2012-09-25,Australia,Australia,Pacific,2071.42,1117.86,953.56,46.03,2012,September,Q3,FQ2,2012-Sep
358,2012-10-05,2012-10-17,2015-12-21,15208,9,SO49971,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Ms. Colleen E Luo",F,2012-10-05,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,October,Q4,FQ3,2012-Oct
358,2012-12-09,2012-12-21,2014-02-06,16160,9,SO50894,1,2049.10,"Mountain-200 Black, 38",1105.81,"Mountain Bikes",Bikes,"Ms. Erika  Hernandez",F,2012-12-09,Australia,Australia,Pacific,2049.10,1105.81,943.29,46.03,2012,December,Q4,FQ3,2012-Dec
